Tiempo,Flexo-extensión hombro derecho,Abducción-aducción hombro derecho,Flexo-extensión codo derecho,Flexo-extensión muñeca derecha,Desviación radiocubital muñeca derecha
2.29000,0.53045,95.45258,-1.98203,1.83286,1.41289
2.30000,0.52914,95.44223,-1.97104,1.83517,1.39628
2.31000,0.52766,95.43160,-1.95704,1.83360,1.38372
2.32000,0.52628,95.42037,-1.94053,1.82913,1.37521
2.33000,0.52550,95.40821,-1.92219,1.82273,1.37050
2.34000,0.52594,95.39473,-1.90279,1.81519,1.36917
2.35000,0.52833,95.37959,-1.88306,1.80691,1.37072
2.36000,0.53341,95.36251,-1.86365,1.79794,1.37458
2.37000,0.54178,95.34325,-1.84502,1.78796,1.38022
2.38000,0.55385,95.32168,-1.82743,1.77645,1.38717
2.39000,0.56980,95.29774,-1.81093,1.76280,1.39504
2.40000,0.58952,95.27140,-1.79534,1.74647,1.40357
2.41000,0.61266,95.24266,-1.78032,1.72707,1.41261
2.42000,0.63870,95.21146,-1.76546,1.70444,1.42209
2.43000,0.66693,95.17771,-1.75033,1.67863,1.43203
2.44000,0.69655,95.14130,-1.73455,1.64998,1.44246
2.45000,0.72671,95.10210,-1.71786,1.61907,1.45341
2.46000,0.75650,95.06009,-1.70015,1.58672,1.46479
2.47000,0.78502,95.01529,-1.68145,1.55393,1.47642
2.48000,0.81141,94.96790,-1.66191,1.52176,1.48798
2.49000,0.83489,94.91823,-1.64185,1.49127,1.49902
2.50000,0.85481,94.86672,-1.62164,1.46337,1.50906
2.51000,0.87067,94.81392,-1.60174,1.43871,1.51764
2.52000,0.88213,94.76041,-1.58260,1.41762,1.52440
2.53000,0.88902,94.70678,-1.56462,1.40009,1.52916
2.54000,0.89132,94.65356,-1.54806,1.38576,1.53195
2.55000,0.88917,94.60123,-1.53304,1.37399,1.53300
2.56000,0.88281,94.55014,-1.51949,1.36397,1.53274
2.57000,0.87260,94.50055,-1.50719,1.35479,1.53174
2.58000,0.85898,94.45258,-1.49578,1.34557,1.53062
2.59000,0.84248,94.40629,-1.48483,1.33548,1.53001
2.60000,0.82368,94.36160,-1.47390,1.32381,1.53046
2.61000,0.80316,94.31841,-1.46255,1.30996,1.53238
2.62000,0.78154,94.27659,-1.45042,1.29350,1.53599
2.63000,0.75938,94.23604,-1.43724,1.27413,1.54133
2.64000,0.73720,94.19672,-1.42281,1.25171,1.54820
2.65000,0.71539,94.15869,-1.40708,1.22632,1.55625
2.66000,0.69426,94.12215,-1.39009,1.19827,1.56495
2.67000,0.67396,94.08736,-1.37203,1.16814,1.57366
2.68000,0.65454,94.05476,-1.35319,1.13677,1.58165
2.69000,0.63592,94.02481,-1.33398,1.10524,1.58816
2.70000,0.61791,93.99807,-1.31494,1.07476,1.59247
2.71000,0.60021,93.97507,-1.29667,1.04663,1.59401
2.72000,0.58246,93.95633,-1.27982,1.02213,1.59239
2.73000,0.56422,93.94225,-1.26501,1.00239,1.58745
2.74000,0.54509,93.93312,-1.25278,0.98830,1.57932
2.75000,0.52466,93.92902,-1.24349,0.98038,1.56831
